PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,NameTitle,TicketTransformed
1,0,3,1,22.0,1,0,7.25,0,2,0,516
2,1,1,0,38.0,1,0,71.2833,1,0,1,585
3,1,3,0,26.0,0,0,7.925,1,2,1,656
4,1,1,0,35.0,1,0,53.1,1,2,1,47
5,0,3,1,35.0,0,0,8.05,0,2,0,466
6,0,3,1,29.69911764705882,0,0,8.4583,0,1,0,271
7,0,1,1,54.0,0,0,51.8625,2,2,0,83
9,1,3,0,27.0,0,2,11.1333,1,2,1,339
10,1,2,0,14.0,1,0,30.0708,1,0,1,130
11,1,3,0,4.0,1,1,16.7,1,2,1,603
13,0,3,1,20.0,0,0,8.05,0,2,0,528
15,0,3,0,14.0,0,0,7.8542,3,2,1,408
16,1,2,0,55.0,0,0,16.0,1,2,1,151
18,1,2,1,29.69911764705882,0,0,13.0,2,2,0,149
19,0,3,0,31.0,1,0,18.0,3,2,2,297
20,1,3,0,29.69911764705882,0,0,7.225,1,0,1,181
21,0,2,1,35.0,0,0,26.0,2,2,0,137
22,1,2,1,34.0,0,0,13.0,2,2,0,150
23,1,3,0,15.0,0,0,8.0292,1,1,1,274
24,1,1,1,28.0,0,0,35.5,2,2,0,40
25,0,3,0,8.0,3,1,21.075,3,2,1,390
27,0,3,1,29.69911764705882,0,0,7.225,0,0,0,176
28,0,1,1,19.0,3,2,263.0,2,2,0,93
29,1,3,0,29.69911764705882,0,0,7.8792,1,1,1,279
30,0,3,1,29.69911764705882,0,0,7.8958,0,2,0,357
31,0,1,1,40.0,0,0,27.7208,2,0,0,587
32,1,1,0,29.69911764705882,1,0,146.5208,1,0,1,575
33,1,3,0,29.69911764705882,0,0,7.75,1,1,1,284
35,0,1,1,28.0,1,0,82.1708,2,0,0,589
36,0,1,1,42.0,1,0,52.0,2,2,0,41
37,1,3,1,29.69911764705882,0,0,7.2292,0,0,0,199
38,0,3,1,21.0,0,0,8.05,0,2,0,507
39,0,3,0,18.0,2,0,18.0,3,2,2,298
40,1,3,0,14.0,1,0,11.2417,1,0,1,183
41,0,3,0,40.0,1,0,9.475,3,2,1,500
42,0,2,0,27.0,1,0,21.0,3,2,1,51
43,0,3,1,29.69911764705882,0,0,7.8958,0,0,0,386
44,1,2,0,3.0,1,2,41.5792,1,0,1,621
45,1,3,0,19.0,0,0,7.8792,1,1,1,278
46,0,3,1,29.69911764705882,0,0,8.05,0,2,0,604
47,0,3,1,29.69911764705882,1,0,15.5,0,1,0,456
48,1,3,0,29.69911764705882,0,0,7.75,1,1,1,74
49,0,3,1,29.69911764705882,2,0,21.6792,0,0,0,187
50,0,3,0,18.0,1,0,17.8,3,2,1,372
51,0,3,1,7.0,4,1,39.6875,0,2,0,245
52,0,3,1,21.0,0,0,7.8,0,2,0,515
53,1,1,0,49.0,1,0,76.7292,1,0,1,576
54,1,2,0,29.0,1,0,26.0,1,2,1,235
55,0,1,1,65.0,0,1,61.9792,2,0,0,28
